mkdir -p ./bin 
gcc mem_finder_mvt.c fm_index.c -o bin/mem_finder_mvt
gcc simple_BWT.c -o bin/simple_BWT
./data/DNA_BWT_FOR.txt already exists, skipping forward BWT generation.
./data/DNA_BWT_REV.txt already exists, skipping reverse BWT generation.
./bin/mem_finder_mvt ./data/DNA_BWT_FOR.txt ./data/DNA_BWT_REV.txt
MEM (start=1, end=12, len=11)
MEM (start=881, end=891, len=10)
MEM (start=883, end=896, len=13)
MEM (start=903, end=913, len=10)
MEM (start=915, end=925, len=10)
MEM (start=919, end=931, len=12)
MEM (start=920, end=932, len=12)
MEM (start=936, end=948, len=12)
MEM (start=939, end=950, len=11)
MEM (start=944, end=957, len=13)
MEM (start=949, end=959, len=10)
MEM (start=964, end=987, len=23)
MEM (start=1016, end=1026, len=10)
MEM (start=1018, end=1030, len=12)
MEM (start=1022, end=1032, len=10)
MEM (start=1026, end=1036, len=10)
MEM (start=1037, end=1047, len=10)
MEM (start=1092, end=1104, len=12)
MEM (start=1096, end=1107, len=11)
MEM (start=1133, end=1146, len=13)
MEM (start=1135, end=1147, len=12)
MEM (start=1137, end=1148, len=11)
MEM (start=1156, end=1166, len=10)
MEM (start=1163, end=1178, len=15)
MEM (start=1199, end=1209, len=10)
MEM (start=1207, end=1217, len=10)
MEM (start=1247, end=1257, len=10)
MEM (start=1257, end=1289, len=32)
MEM (start=1286, end=1296, len=10)
MEM (start=1290, end=1300, len=10)
MEM (start=1310, end=1320, len=10)
MEM (start=1374, end=1390, len=16)
MEM (start=1391, end=1401, len=10)
MEM (start=1394, end=1405, len=11)
MEM (start=1404, end=1427, len=23)
MEM (start=1423, end=1433, len=10)
MEM (start=1433, end=1451, len=18)
MEM (start=1448, end=1458, len=10)
MEM (start=1452, end=1470, len=18)
MEM (start=1462, end=1472, len=10)
MEM (start=1487, end=1497, len=10)
MEM (start=1497, end=1507, len=10)
MEM (start=1500, end=1512, len=12)
MEM (start=1508, end=1518, len=10)
MEM (start=1524, end=1535, len=11)
MEM (start=1528, end=1538, len=10)
MEM (start=1539, end=1553, len=14)
MEM (start=1546, end=1557, len=11)
MEM (start=1556, end=1566, len=10)
MEM (start=1559, end=1571, len=12)
MEM (start=1575, end=1593, len=18)
MEM (start=1586, end=1597, len=11)
MEM (start=1595, end=1605, len=10)
MEM (start=1605, end=1620, len=15)
MEM (start=1606, end=1627, len=21)
MEM (start=1651, end=1661, len=10)
MEM (start=1678, end=1688, len=10)
MEM (start=1684, end=1694, len=10)
MEM (start=1690, end=1702, len=12)
MEM (start=1717, end=1731, len=14)
MEM (start=1728, end=1741, len=13)
MEM (start=1741, end=1751, len=10)
MEM (start=1745, end=1755, len=10)
MEM (start=1751, end=1762, len=11)
MEM (start=1753, end=1775, len=22)
MEM (start=1773, end=1783, len=10)
MEM (start=1793, end=1803, len=10)
MEM (start=1796, end=1806, len=10)
MEM (start=1825, end=1839, len=14)
MEM (start=1836, end=1846, len=10)
MEM (start=1856, end=1866, len=10)
MEM (start=1865, end=1876, len=11)
MEM (start=1869, end=1881, len=12)
MEM (start=1890, end=1905, len=15)
MEM (start=1912, end=1925, len=13)
MEM (start=1925, end=1935, len=10)
MEM (start=1927, end=1937, len=10)
MEM (start=1940, end=1951, len=11)
MEM (start=1943, end=1954, len=11)
MEM (start=1957, end=1967, len=10)
MEM (start=1959, end=1970, len=11)
MEM (start=1966, end=1976, len=10)
MEM (start=2008, end=2018, len=10)
MEM (start=2010, end=2021, len=11)
MEM (start=2022, end=2032, len=10)
MEM (start=2026, end=2047, len=21)
MEM (start=2042, end=2052, len=10)
MEM (start=2045, end=2055, len=10)
MEM (start=2050, end=2074, len=24)
MEM (start=2085, end=2095, len=10)
MEM (start=2101, end=2121, len=20)
MEM (start=2123, end=2134, len=11)
MEM (start=2137, end=2154, len=17)
MEM (start=2168, end=2178, len=10)
MEM (start=2183, end=2197, len=14)
MEM (start=2188, end=2198, len=10)
MEM (start=2190, end=2200, len=10)
MEM (start=2198, end=2208, len=10)
MEM (start=2199, end=2209, len=10)
MEM (start=2255, end=2265, len=10)
MEM (start=2269, end=2279, len=10)
MEM (start=2275, end=2285, len=10)
MEM (start=2323, end=2333, len=10)
MEM (start=2328, end=2338, len=10)
MEM (start=2342, end=2353, len=11)
MEM (start=2343, end=2354, len=11)
MEM (start=2365, end=2378, len=13)
MEM (start=2390, end=2400, len=10)
MEM (start=2395, end=2405, len=10)
MEM (start=2396, end=2406, len=10)
MEM (start=2403, end=2413, len=10)
MEM (start=2412, end=2422, len=10)
MEM (start=2415, end=2425, len=10)
MEM (start=2417, end=2433, len=16)
MEM (start=2419, end=2437, len=18)
MEM (start=2451, end=2462, len=11)
MEM (start=2482, end=2509, len=27)
MEM (start=2526, end=2539, len=13)
MEM (start=2552, end=2568, len=16)
MEM (start=2572, end=2583, len=11)
MEM (start=2577, end=2588, len=11)
MEM (start=2581, end=2591, len=10)
MEM (start=2582, end=2592, len=10)
MEM (start=2605, end=2616, len=11)
MEM (start=2618, end=2630, len=12)
MEM (start=2631, end=2662, len=31)
MEM (start=2657, end=2667, len=10)
MEM (start=2666, end=2676, len=10)
MEM (start=2668, end=2678, len=10)
MEM (start=2674, end=2684, len=10)
MEM (start=2683, end=2694, len=11)
MEM (start=2707, end=2717, len=10)
MEM (start=2722, end=2737, len=15)
MEM (start=2738, end=2750, len=12)
MEM (start=2751, end=2761, len=10)
MEM (start=2762, end=2774, len=12)
MEM (start=2767, end=2777, len=10)
MEM (start=2778, end=2789, len=11)
MEM (start=2789, end=2805, len=16)
MEM (start=2820, end=2830, len=10)
MEM (start=2824, end=2834, len=10)
MEM (start=2843, end=2855, len=12)
MEM (start=2847, end=2857, len=10)
MEM (start=2852, end=2862, len=10)
MEM (start=2857, end=2868, len=11)
MEM (start=2861, end=2875, len=14)
MEM (start=2901, end=2914, len=13)
MEM (start=2906, end=2917, len=11)
MEM (start=2921, end=2940, len=19)
MEM (start=2940, end=2950, len=10)
MEM (start=2945, end=2955, len=10)
MEM (start=2963, end=2973, len=10)
MEM (start=2973, end=2984, len=11)
MEM (start=2984, end=2994, len=10)
MEM (start=2985, end=2995, len=10)
MEM (start=3016, end=3026, len=10)
MEM (start=3017, end=3032, len=15)
MEM (start=3030, end=3040, len=10)
MEM (start=3033, end=3043, len=10)
MEM (start=3056, end=3066, len=10)
MEM (start=3060, end=3070, len=10)
MEM (start=3075, end=3092, len=17)
MEM (start=3087, end=3098, len=11)
MEM (start=3097, end=3108, len=11)
MEM (start=3106, end=3116, len=10)
MEM (start=3120, end=3133, len=13)
MEM (start=3134, end=3149, len=15)
MEM (start=3145, end=3155, len=10)
MEM (start=3158, end=3168, len=10)
MEM (start=3161, end=3171, len=10)
MEM (start=3167, end=3184, len=17)
MEM (start=3183, end=3193, len=10)
MEM (start=3210, end=3233, len=23)
MEM (start=3221, end=3243, len=22)
MEM (start=3235, end=3246, len=11)
MEM (start=3246, end=3256, len=10)
MEM (start=3289, end=3300, len=11)
MEM (start=3302, end=3323, len=21)
MEM (start=3326, end=3336, len=10)
MEM (start=3331, end=3341, len=10)
MEM (start=3344, end=3354, len=10)
MEM (start=3357, end=3367, len=10)
MEM (start=3363, end=3373, len=10)
MEM (start=3364, end=3378, len=14)
MEM (start=3376, end=3386, len=10)
MEM (start=3381, end=3391, len=10)
MEM (start=3394, end=3404, len=10)
MEM (start=3409, end=3420, len=11)
MEM (start=3415, end=3425, len=10)
MEM (start=3428, end=3442, len=14)
MEM (start=3448, end=3461, len=13)
MEM (start=3460, end=3470, len=10)
MEM (start=3473, end=3492, len=19)
MEM (start=3493, end=3512, len=19)
MEM (start=3504, end=3514, len=10)
MEM (start=3508, end=3519, len=11)
MEM (start=3517, end=3529, len=12)
MEM (start=3521, end=3531, len=10)
MEM (start=3522, end=3533, len=11)
MEM (start=3525, end=3536, len=11)
MEM (start=3528, end=3538, len=10)
MEM (start=3555, end=3565, len=10)
MEM (start=3561, end=3578, len=17)
MEM (start=3576, end=3587, len=11)
MEM (start=3587, end=3605, len=18)
MEM (start=3597, end=3607, len=10)
MEM (start=3639, end=3649, len=10)
MEM (start=3649, end=3659, len=10)
MEM (start=3655, end=3666, len=11)
MEM (start=3656, end=3667, len=11)
MEM (start=3685, end=3698, len=13)
MEM (start=3697, end=3709, len=12)
MEM (start=3703, end=3713, len=10)
MEM (start=3711, end=3721, len=10)
MEM (start=3724, end=3735, len=11)
MEM (start=3726, end=3736, len=10)
MEM (start=3763, end=3773, len=10)
MEM (start=3787, end=3798, len=11)
MEM (start=3791, end=3802, len=11)
MEM (start=3799, end=3809, len=10)
MEM (start=3805, end=3815, len=10)
MEM (start=3811, end=3821, len=10)
MEM (start=3812, end=3825, len=13)
MEM (start=3814, end=3826, len=12)
MEM (start=3827, end=3854, len=27)
MEM (start=3878, end=3889, len=11)
MEM (start=3881, end=3891, len=10)
MEM (start=3882, end=3892, len=10)
MEM (start=3911, end=3921, len=10)
MEM (start=3942, end=3961, len=19)
MEM (start=3961, end=3971, len=10)
MEM (start=3964, end=3975, len=11)
MEM (start=3966, end=3976, len=10)
MEM (start=3980, end=3990, len=10)
MEM (start=3981, end=4003, len=22)
MEM (start=4013, end=4029, len=16)
MEM (start=4019, end=4030, len=11)
MEM (start=4048, end=4059, len=11)
MEM (start=4050, end=4080, len=30)
MEM (start=4060, end=4091, len=31)
MEM (start=4081, end=4093, len=12)
MEM (start=4089, end=4099, len=10)
MEM (start=4091, end=4102, len=11)
MEM (start=4099, end=4110, len=11)
MEM (start=4112, end=4127, len=15)
MEM (start=4135, end=4145, len=10)
MEM (start=4136, end=4162, len=26)
MEM (start=4157, end=4167, len=10)
MEM (start=4172, end=4182, len=10)
MEM (start=4175, end=4194, len=19)
MEM (start=4200, end=4212, len=12)
MEM (start=4208, end=4219, len=11)
MEM (start=4213, end=4224, len=11)
MEM (start=4253, end=4264, len=11)
MEM (start=4262, end=4272, len=10)
MEM (start=4272, end=4283, len=11)
MEM (start=4277, end=4300, len=23)
MEM (start=4316, end=4328, len=12)
MEM (start=4321, end=4339, len=18)
MEM (start=4326, end=4341, len=15)
MEM (start=4351, end=4367, len=16)
MEM (start=4375, end=4387, len=12)
MEM (start=4388, end=4399, len=11)
MEM (start=4404, end=4415, len=11)
MEM (start=4413, end=4424, len=11)
MEM (start=4416, end=4426, len=10)
MEM (start=4432, end=4442, len=10)
MEM (start=4434, end=4453, len=19)
MEM (start=4457, end=4467, len=10)
MEM (start=4464, end=4474, len=10)
MEM (start=4466, end=4476, len=10)
MEM (start=4481, end=4493, len=12)
MEM (start=4506, end=4516, len=10)
MEM (start=4507, end=4519, len=12)
MEM (start=4508, end=4520, len=12)
MEM (start=4517, end=4527, len=10)
MEM (start=4518, end=4528, len=10)
MEM (start=4524, end=4536, len=12)
MEM (start=4530, end=4540, len=10)
MEM (start=4533, end=4543, len=10)
MEM (start=4550, end=4560, len=10)
MEM (start=4554, end=4565, len=11)
MEM (start=4570, end=4581, len=11)
MEM (start=4572, end=4582, len=10)
MEM (start=4580, end=4591, len=11)
MEM (start=4588, end=4599, len=11)
MEM (start=4602, end=4612, len=10)
MEM (start=4650, end=4660, len=10)
MEM (start=4665, end=4675, len=10)
MEM (start=4676, end=4688, len=12)
MEM (start=4694, end=4705, len=11)
MEM (start=4700, end=4710, len=10)
MEM (start=4701, end=4718, len=17)
MEM (start=4710, end=4720, len=10)
MEM (start=4711, end=4725, len=14)
MEM (start=4722, end=4732, len=10)
MEM (start=4732, end=4742, len=10)
MEM (start=4733, end=4743, len=10)
MEM (start=4736, end=4750, len=14)
MEM (start=4751, end=4763, len=12)
MEM (start=4757, end=4768, len=11)
MEM (start=4764, end=4774, len=10)
MEM (start=4770, end=4781, len=11)
MEM (start=4772, end=4786, len=14)
MEM (start=4778, end=4788, len=10)
MEM (start=4783, end=4793, len=10)
MEM (start=4785, end=4809, len=24)
MEM (start=4834, end=4845, len=11)
MEM (start=4838, end=4848, len=10)
MEM (start=4842, end=4853, len=11)
MEM (start=4845, end=4862, len=17)
MEM (start=4874, end=4884, len=10)
MEM (start=4887, end=4899, len=12)
MEM (start=4890, end=4900, len=10)
MEM (start=4893, end=4903, len=10)
MEM (start=4900, end=4912, len=12)
MEM (start=4908, end=4918, len=10)
MEM (start=4926, end=4943, len=17)
MEM (start=4944, end=4956, len=12)
MEM (start=4957, end=4973, len=16)
MEM (start=4968, end=4978, len=10)
MEM (start=4985, end=4995, len=10)
MEM (start=5020, end=5035, len=15)
MEM (start=5047, end=5058, len=11)
MEM (start=5062, end=5073, len=11)
MEM (start=5063, end=5076, len=13)
MEM (start=5069, end=5079, len=10)
MEM (start=5070, end=5080, len=10)
MEM (start=5076, end=5087, len=11)
MEM (start=5110, end=5125, len=15)
MEM (start=5124, end=5134, len=10)
MEM (start=5139, end=5150, len=11)
MEM (start=5141, end=5151, len=10)
MEM (start=5144, end=5154, len=10)
MEM (start=5146, end=5156, len=10)
MEM (start=5147, end=5188, len=41)
MEM (start=5189, end=5215, len=26)
MEM (start=5211, end=5221, len=10)
MEM (start=5222, end=5244, len=22)
MEM (start=5239, end=5249, len=10)
MEM (start=5245, end=5255, len=10)
MEM (start=5254, end=5264, len=10)
MEM (start=5255, end=5266, len=11)
MEM (start=5264, end=5274, len=10)
MEM (start=5281, end=5291, len=10)
MEM (start=5289, end=5309, len=20)
MEM (start=5306, end=5318, len=12)
MEM (start=5308, end=5319, len=11)
MEM (start=5310, end=5326, len=16)
MEM (start=5325, end=5336, len=11)
MEM (start=5327, end=5343, len=16)
MEM (start=5340, end=5350, len=10)
MEM (start=5345, end=5356, len=11)
MEM (start=5364, end=5374, len=10)
MEM (start=5372, end=5382, len=10)
MEM (start=5373, end=5388, len=15)
MEM (start=5382, end=5392, len=10)
MEM (start=5388, end=5398, len=10)
MEM (start=5393, end=5408, len=15)
MEM (start=5408, end=5418, len=10)
MEM (start=5435, end=5447, len=12)
MEM (start=5438, end=5448, len=10)
MEM (start=5469, end=5479, len=10)
MEM (start=5530, end=5540, len=10)
MEM (start=5532, end=5543, len=11)
MEM (start=5553, end=5565, len=12)
MEM (start=5571, end=5581, len=10)
MEM (start=5578, end=5589, len=11)
MEM (start=5583, end=5593, len=10)
MEM (start=5620, end=5632, len=12)
MEM (start=5641, end=5657, len=16)
MEM (start=5657, end=5667, len=10)
MEM (start=5664, end=5674, len=10)
MEM (start=5669, end=5679, len=10)
MEM (start=5679, end=5689, len=10)
MEM (start=5683, end=5700, len=17)
MEM (start=5697, end=5708, len=11)
MEM (start=5709, end=5719, len=10)
MEM (start=5711, end=5721, len=10)
MEM (start=5727, end=5738, len=11)
MEM (start=5730, end=5741, len=11)
MEM (start=5731, end=5742, len=11)
MEM (start=5737, end=5747, len=10)
MEM (start=5749, end=5759, len=10)
MEM (start=5754, end=5765, len=11)
MEM (start=5792, end=5802, len=10)
MEM (start=5800, end=5810, len=10)
MEM (start=5810, end=5820, len=10)
MEM (start=5825, end=5844, len=19)
MEM (start=5845, end=5858, len=13)
MEM (start=5855, end=5865, len=10)
MEM (start=5859, end=5875, len=16)
MEM (start=5867, end=5877, len=10)
MEM (start=5868, end=5880, len=12)
MEM (start=5880, end=5896, len=16)
MEM (start=5887, end=5897, len=10)
MEM (start=5906, end=5916, len=10)
MEM (start=5909, end=5919, len=10)
MEM (start=5919, end=5930, len=11)
MEM (start=5921, end=5932, len=11)
MEM (start=5928, end=5939, len=11)
MEM (start=5955, end=5966, len=11)
MEM (start=5956, end=5970, len=14)
MEM (start=5958, end=5974, len=16)
MEM (start=5975, end=5986, len=11)
MEM (start=6019, end=6035, len=16)
MEM (start=6024, end=6036, len=12)
MEM (start=6045, end=6055, len=10)
MEM (start=6047, end=6061, len=14)
MEM (start=6055, end=6066, len=11)
MEM (start=6061, end=6071, len=10)
MEM (start=6062, end=6090, len=28)
MEM (start=6080, end=6091, len=11)
MEM (start=6087, end=6097, len=10)
MEM (start=6094, end=6113, len=19)
MEM (start=6110, end=6121, len=11)
MEM (start=6131, end=6141, len=10)
MEM (start=6132, end=6143, len=11)
MEM (start=6141, end=6151, len=10)
MEM (start=6144, end=6160, len=16)
MEM (start=6156, end=6167, len=11)
MEM (start=6174, end=6184, len=10)
MEM (start=6189, end=6199, len=10)
MEM (start=6208, end=6218, len=10)
MEM (start=6211, end=6221, len=10)
MEM (start=6212, end=6223, len=11)
MEM (start=6220, end=6231, len=11)
MEM (start=6224, end=6234, len=10)
MEM (start=6243, end=6253, len=10)
MEM (start=6265, end=6276, len=11)
MEM (start=6274, end=6284, len=10)
MEM (start=6284, end=6312, len=28)
MEM (start=6314, end=6326, len=12)
MEM (start=6317, end=6327, len=10)
MEM (start=6330, end=6340, len=10)
MEM (start=6336, end=6346, len=10)
MEM (start=6337, end=6347, len=10)
MEM (start=6342, end=6360, len=18)
MEM (start=6356, end=6366, len=10)
MEM (start=6362, end=6372, len=10)
MEM (start=6367, end=6389, len=22)
MEM (start=6390, end=6402, len=12)
MEM (start=6396, end=6407, len=11)
MEM (start=6410, end=6420, len=10)
MEM (start=6439, end=6450, len=11)
MEM (start=6445, end=6456, len=11)
MEM (start=6459, end=6469, len=10)
MEM (start=6460, end=6470, len=10)
MEM (start=6476, end=6486, len=10)
MEM (start=6478, end=6502, len=24)
MEM (start=6509, end=6539, len=30)
MEM (start=6531, end=6542, len=11)
MEM (start=6534, end=6545, len=11)
MEM (start=6539, end=6549, len=10)
MEM (start=6551, end=6562, len=11)
MEM (start=6573, end=6585, len=12)
MEM (start=6584, end=6594, len=10)
MEM (start=6586, end=6598, len=12)
MEM (start=6594, end=6607, len=13)
MEM (start=6606, end=6616, len=10)
MEM (start=6620, end=6631, len=11)
MEM (start=6625, end=6636, len=11)
MEM (start=6634, end=6656, len=22)
MEM (start=6671, end=6681, len=10)
MEM (start=6687, end=6711, len=24)
MEM (start=6712, end=6722, len=10)
MEM (start=6723, end=6737, len=14)
MEM (start=6751, end=6762, len=11)
MEM (start=6753, end=6764, len=11)
MEM (start=6762, end=6772, len=10)
MEM (start=6781, end=6802, len=21)
MEM (start=6814, end=6824, len=10)
MEM (start=6819, end=6832, len=13)
MEM (start=6838, end=6849, len=11)
MEM (start=6850, end=6865, len=15)
MEM (start=6872, end=6882, len=10)
MEM (start=6881, end=6895, len=14)
MEM (start=6886, end=6896, len=10)
MEM (start=6887, end=6905, len=18)
MEM (start=6906, end=6916, len=10)
MEM (start=6917, end=6932, len=15)
MEM (start=6937, end=6947, len=10)
MEM (start=6941, end=6951, len=10)
MEM (start=6954, end=6964, len=10)
MEM (start=6956, end=6967, len=11)
MEM (start=6980, end=6990, len=10)
MEM (start=6990, end=7000, len=10)
MEM (start=7018, end=7028, len=10)
MEM (start=7026, end=7036, len=10)
MEM (start=7029, end=7042, len=13)
MEM (start=7036, end=7047, len=11)
MEM (start=7049, end=7060, len=11)
MEM (start=7068, end=7078, len=10)
MEM (start=7073, end=7083, len=10)
MEM (start=7096, end=7118, len=22)
MEM (start=7128, end=7138, len=10)
MEM (start=7130, end=7140, len=10)
MEM (start=7139, end=7156, len=17)
MEM (start=7157, end=7172, len=15)
MEM (start=7178, end=7189, len=11)
MEM (start=7197, end=7207, len=10)
MEM (start=7201, end=7212, len=11)
MEM (start=7231, end=7241, len=10)
MEM (start=7238, end=7250, len=12)
MEM (start=7254, end=7264, len=10)
MEM (start=7258, end=7269, len=11)
MEM (start=7266, end=7276, len=10)
MEM (start=7267, end=7278, len=11)
MEM (start=7302, end=7312, len=10)
MEM (start=7329, end=7341, len=12)
MEM (start=7332, end=7342, len=10)
MEM (start=7351, end=7361, len=10)
MEM (start=7376, end=7386, len=10)
MEM (start=7383, end=7393, len=10)
MEM (start=7396, end=7407, len=11)
MEM (start=7416, end=7426, len=10)
MEM (start=7417, end=7428, len=11)
MEM (start=7420, end=7430, len=10)
MEM (start=7422, end=7436, len=14)
MEM (start=7438, end=7448, len=10)
MEM (start=7442, end=7454, len=12)
MEM (start=7458, end=7475, len=17)
MEM (start=7466, end=7476, len=10)
MEM (start=7485, end=7505, len=20)
MEM (start=7514, end=7524, len=10)
MEM (start=7537, end=7548, len=11)
MEM (start=7577, end=7588, len=11)
MEM (start=7582, end=7594, len=12)
MEM (start=7598, end=7608, len=10)
MEM (start=7607, end=7617, len=10)
MEM (start=7613, end=7624, len=11)
MEM (start=7615, end=7630, len=15)
MEM (start=7621, end=7631, len=10)
MEM (start=7645, end=7669, len=24)
MEM (start=7663, end=7673, len=10)
MEM (start=7670, end=7681, len=11)
MEM (start=7680, end=7690, len=10)
MEM (start=7690, end=7700, len=10)
MEM (start=7695, end=7705, len=10)
MEM (start=7702, end=7715, len=13)
MEM (start=7722, end=7732, len=10)
MEM (start=7732, end=7742, len=10)
MEM (start=7741, end=7753, len=12)
MEM (start=7753, end=7763, len=10)
MEM (start=7757, end=7767, len=10)
MEM (start=7764, end=7776, len=12)
MEM (start=7769, end=7779, len=10)
MEM (start=7787, end=7797, len=10)
MEM (start=7793, end=7803, len=10)
MEM (start=7800, end=7811, len=11)
MEM (start=7815, end=7830, len=15)
MEM (start=7822, end=7833, len=11)
MEM (start=7828, end=7838, len=10)
MEM (start=7843, end=7857, len=14)
MEM (start=7858, end=7868, len=10)
MEM (start=7885, end=7895, len=10)
MEM (start=7902, end=7912, len=10)
MEM (start=7905, end=7915, len=10)
MEM (start=7913, end=7923, len=10)
MEM (start=7917, end=7931, len=14)
MEM (start=7932, end=7942, len=10)
MEM (start=7957, end=7967, len=10)
MEM (start=7975, end=7989, len=14)
MEM (start=7990, end=8000, len=10)
MEM (start=8016, end=8026, len=10)
MEM (start=8040, end=8052, len=12)
MEM (start=8046, end=8056, len=10)
MEM (start=8061, end=8071, len=10)
MEM (start=8063, end=8078, len=15)
MEM (start=8076, end=8087, len=11)
MEM (start=8096, end=8106, len=10)
MEM (start=8099, end=8109, len=10)
MEM (start=8103, end=8123, len=20)
MEM (start=8125, end=8136, len=11)
MEM (start=8128, end=8138, len=10)
MEM (start=8132, end=8144, len=12)
MEM (start=8145, end=8157, len=12)
MEM (start=8148, end=8162, len=14)
MEM (start=8155, end=8165, len=10)
MEM (start=8172, end=8182, len=10)
MEM (start=8199, end=8210, len=11)
MEM (start=8225, end=8236, len=11)
MEM (start=8233, end=8243, len=10)
MEM (start=8246, end=8257, len=11)
MEM (start=8252, end=8262, len=10)
MEM (start=8275, end=8285, len=10)
MEM (start=8276, end=8286, len=10)
MEM (start=8279, end=8290, len=11)
MEM (start=8303, end=8314, len=11)
MEM (start=8309, end=8319, len=10)
MEM (start=8322, end=8336, len=14)
MEM (start=8338, end=8348, len=10)
MEM (start=8342, end=8353, len=11)
MEM (start=8356, end=8367, len=11)
MEM (start=8363, end=8373, len=10)
MEM (start=8366, end=8383, len=17)
MEM (start=8377, end=8387, len=10)
MEM (start=8389, end=8399, len=10)
MEM (start=8391, end=8431, len=40)
MEM (start=8423, end=8433, len=10)
MEM (start=8425, end=8435, len=10)
MEM (start=8433, end=8443, len=10)
MEM (start=8441, end=8452, len=11)
MEM (start=8450, end=8460, len=10)
MEM (start=8462, end=8486, len=24)
MEM (start=8487, end=8497, len=10)
MEM (start=8491, end=8501, len=10)
MEM (start=8493, end=8512, len=19)
MEM (start=8516, end=8526, len=10)
MEM (start=8532, end=8542, len=10)
MEM (start=8533, end=8544, len=11)
MEM (start=8540, end=8550, len=10)
MEM (start=8544, end=8554, len=10)
MEM (start=8553, end=8571, len=18)
MEM (start=8565, end=8575, len=10)
MEM (start=8612, end=8622, len=10)
MEM (start=8614, end=8626, len=12)
MEM (start=8624, end=8638, len=14)
MEM (start=8650, end=8667, len=17)
MEM (start=8693, end=8704, len=11)
MEM (start=8703, end=8714, len=11)
MEM (start=8706, end=8716, len=10)
MEM (start=8710, end=8720, len=10)
MEM (start=8715, end=8725, len=10)
MEM (start=8721, end=8731, len=10)
MEM (start=8735, end=8748, len=13)
MEM (start=8741, end=8751, len=10)
MEM (start=8749, end=8759, len=10)
MEM (start=8754, end=8764, len=10)
MEM (start=8759, end=8775, len=16)
MEM (start=8768, end=8779, len=11)
MEM (start=8782, end=8797, len=15)
MEM (start=8800, end=8812, len=12)
MEM (start=8807, end=8817, len=10)
MEM (start=8808, end=8818, len=10)
MEM (start=8812, end=8823, len=11)
MEM (start=8844, end=8854, len=10)
MEM (start=8847, end=8862, len=15)
MEM (start=8857, end=8867, len=10)
MEM (start=8873, end=8884, len=11)
MEM (start=8875, end=8885, len=10)
MEM (start=8876, end=8886, len=10)
MEM (start=8880, end=8890, len=10)
MEM (start=8883, end=8893, len=10)
MEM (start=8884, end=8894, len=10)
MEM (start=8885, end=8897, len=12)
MEM (start=8886, end=8902, len=16)
MEM (start=8899, end=8916, len=17)
MEM (start=8903, end=8924, len=21)
MEM (start=8917, end=8927, len=10)
MEM (start=8919, end=8929, len=10)
MEM (start=8925, end=8936, len=11)
MEM (start=8931, end=8941, len=10)
MEM (start=8933, end=8943, len=10)
MEM (start=8944, end=8955, len=11)
MEM (start=8947, end=8957, len=10)
